Mid,Date,Opponent,Event,Leg,Player,Won,Darts,CheckoutValue,StartScore
t32cxhp4_1758307129662,2025-09-19,Mister Blue (cam only),,1,Opponent,1,35,32,501
t32cxhp4_1758307129662,2025-09-19,Mister Blue (cam only),,2,You,1,51,10,501
t32cxhp4_1758307129662,2025-09-19,Mister Blue (cam only),,2,Opponent,0,,,501
t32cxhp4_1758307129662,2025-09-19,Mister Blue (cam only),,3,You,1,42,32,501
t32cxhp4_1758307129662,2025-09-19,Mister Blue (cam only),,3,Opponent,0,,,501
t32cxhp4_1758307129662,2025-09-19,Mister Blue (cam only),,4,You,1,35,12,501
t32cxhp4_1758307129662,2025-09-19,Mister Blue (cam only),,4,Opponent,0,,,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,1,You,1,37,16,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,1,Opponent,0,,,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,2,You,0,,,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,2,Opponent,1,36,8,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,3,You,0,,,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,3,Opponent,1,53,4,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,4,You,0,,,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,4,Opponent,1,35,13,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,5,You,0,,,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,5,Opponent,1,60,4,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,6,You,1,38,16,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,6,Opponent,0,,,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,7,You,0,,,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,7,Opponent,1,37,18,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,8,You,1,42,32,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,8,Opponent,0,,,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,9,You,0,,,501
fF91MggT_1758375141126,2025-09-20,Jack Daffin,🎯DML Division 4,9,Opponent,1,31,24,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,1,You,1,45,2,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,1,Opponent,0,,,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,10,You,0,,,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,10,Opponent,1,34,2,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,2,You,0,,,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,2,Opponent,1,34,4,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,3,You,0,,,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,3,Opponent,1,19,20,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,4,You,0,,,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,4,Opponent,1,30,8,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,5,You,0,,,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,5,Opponent,1,32,2,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,6,You,1,32,28,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,6,Opponent,0,,,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,7,You,1,24,103,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,7,Opponent,0,,,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,8,You,1,43,14,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,8,Opponent,0,,,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,9,You,0,,,501
zcByV9r1_1758990705968,2025-09-27,Dawid Kopelciw,🎯DML Division 4,9,Opponent,1,62,2,501
7LYVv4E4_1759171946814,2025-09-29,Tony Bennett,Dartsmatt Development Tour #16,1,Opponent,1,33,40,501
7LYVv4E4_1759171946814,2025-09-29,Tony Bennett,Dartsmatt Development Tour #16,1,You,0,,,501
7LYVv4E4_1759171946814,2025-09-29,Tony Bennett,Dartsmatt Development Tour #16,2,Opponent,1,40,2,501
7LYVv4E4_1759171946814,2025-09-29,Tony Bennett,Dartsmatt Development Tour #16,2,You,0,,,501
UEjgzVVB_1759168957746,2025-09-29,Kevin Newman,Dartsmatt Development Tour #16,1,You,1,35,75,501
UEjgzVVB_1759168957746,2025-09-29,Kevin Newman,Dartsmatt Development Tour #16,1,Opponent,0,,,501
UEjgzVVB_1759168957746,2025-09-29,Kevin Newman,Dartsmatt Development Tour #16,2,You,1,76,2,501
UEjgzVVB_1759168957746,2025-09-29,Kevin Newman,Dartsmatt Development Tour #16,2,Opponent,0,,,501
Uk8QjXu6_1759170309223,2025-09-29,elJebus 0,Dartsmatt Development Tour #16,1,You,1,37,16,501
Uk8QjXu6_1759170309223,2025-09-29,elJebus 0,Dartsmatt Development Tour #16,1,Opponent,0,,,501
Uk8QjXu6_1759170309223,2025-09-29,elJebus 0,Dartsmatt Development Tour #16,2,You,1,39,36,501
Uk8QjXu6_1759170309223,2025-09-29,elJebus 0,Dartsmatt Development Tour #16,2,Opponent,0,,,501
jOdpBTEv_1759172894142,2025-09-29,Alex Boag-Munroe,Dartsmatt Development Tour #16,1,Opponent,1,33,40,501
jOdpBTEv_1759172894142,2025-09-29,Alex Boag-Munroe,Dartsmatt Development Tour #16,1,You,0,,,501
jOdpBTEv_1759172894142,2025-09-29,Alex Boag-Munroe,Dartsmatt Development Tour #16,2,Opponent,1,38,33,501
jOdpBTEv_1759172894142,2025-09-29,Alex Boag-Munroe,Dartsmatt Development Tour #16,2,You,0,,,501
jOdpBTEv_1759172894142,2025-09-29,Alex Boag-Munroe,Dartsmatt Development Tour #16,3,Opponent,0,,,501
jOdpBTEv_1759172894142,2025-09-29,Alex Boag-Munroe,Dartsmatt Development Tour #16,3,You,1,34,16,501
jOdpBTEv_1759172894142,2025-09-29,Alex Boag-Munroe,Dartsmatt Development Tour #16,4,Opponent,1,39,2,501
jOdpBTEv_1759172894142,2025-09-29,Alex Boag-Munroe,Dartsmatt Development Tour #16,4,You,0,,,501
H2e8lxzt_1759689041419,2025-10-05,wayne green,🎯DML Division 4,1,You,0,,,501
H2e8lxzt_1759689041419,2025-10-05,wayne green,🎯DML Division 4,1,Opponent,1,33,34,501
H2e8lxzt_1759689041419,2025-10-05,wayne green,🎯DML Division 4,2,You,0,,,501
H2e8lxzt_1759689041419,2025-10-05,wayne green,🎯DML Division 4,2,Opponent,1,32,8,501
H2e8lxzt_1759689041419,2025-10-05,wayne green,🎯DML Division 4,3,You,0,,,501
H2e8lxzt_1759689041419,2025-10-05,wayne green,🎯DML Division 4,3,Opponent,1,35,32,501
H2e8lxzt_1759689041419,2025-10-05,wayne green,🎯DML Division 4,4,You,1,35,3,501
H2e8lxzt_1759689041419,2025-10-05,wayne green,🎯DML Division 4,4,Opponent,0,,,501
H2e8lxzt_1759689041419,2025-10-05,wayne green,🎯DML Division 4,5,You,0,,,501
H2e8lxzt_1759689041419,2025-10-05,wayne green,🎯DML Division 4,5,Opponent,1,39,24,501
H2e8lxzt_1759689041419,2025-10-05,wayne green,🎯DML Division 4,6,You,0,,,501
H2e8lxzt_1759689041419,2025-10-05,wayne green,🎯DML Division 4,6,Opponent,1,47,10,501
H2e8lxzt_1759689041419,2025-10-05,wayne green,🎯DML Division 4,7,You,0,,,501
H2e8lxzt_1759689041419,2025-10-05,wayne green,🎯DML Division 4,7,Opponent,1,28,22,501
Hmzk5xsI_1759704417111,2025-10-05,mattylad,,1,You,1,33,17,501
Hmzk5xsI_1759704417111,2025-10-05,mattylad,,1,Opponent,0,,,501
Hmzk5xsI_1759704417111,2025-10-05,mattylad,,2,You,0,,,501
Hmzk5xsI_1759704417111,2025-10-05,mattylad,,2,Opponent,1,35,5,501
Hmzk5xsI_1759704417111,2025-10-05,mattylad,,3,You,0,,,501
Hmzk5xsI_1759704417111,2025-10-05,mattylad,,3,Opponent,1,32,10,501
Hmzk5xsI_1759704417111,2025-10-05,mattylad,,4,You,1,52,6,501
Hmzk5xsI_1759704417111,2025-10-05,mattylad,,4,Opponent,0,,,501
vatFBNjn_1759706138095,2025-10-05,Herbalist,,1,You,1,57,2,501
vatFBNjn_1759706138095,2025-10-05,Herbalist,,1,Opponent,0,,,501
vatFBNjn_1759706138095,2025-10-05,Herbalist,,2,You,1,50,2,501
vatFBNjn_1759706138095,2025-10-05,Herbalist,,2,Opponent,0,,,501
vatFBNjn_1759706138095,2025-10-05,Herbalist,,3,You,0,,,501
vatFBNjn_1759706138095,2025-10-05,Herbalist,,3,Opponent,1,53,10,501
vatFBNjn_1759706138095,2025-10-05,Herbalist,,4,You,1,63,4,501
vatFBNjn_1759706138095,2025-10-05,Herbalist,,4,Opponent,0,,,501
B4BCqy96_1759780546305,2025-10-06,Lander Valentin,Dartsmatt Development Tour #17,1,Opponent,1,35,10,501
B4BCqy96_1759780546305,2025-10-06,Lander Valentin,Dartsmatt Development Tour #17,1,You,0,,,501
B4BCqy96_1759780546305,2025-10-06,Lander Valentin,Dartsmatt Development Tour #17,2,Opponent,1,32,16,501
B4BCqy96_1759780546305,2025-10-06,Lander Valentin,Dartsmatt Development Tour #17,2,You,0,,,501
P36QXMgb_1759773925830,2025-10-06,Alex Boag-Munroe,Dartsmatt Development Tour #17,1,You,0,,,501
P36QXMgb_1759773925830,2025-10-06,Alex Boag-Munroe,Dartsmatt Development Tour #17,1,Opponent,1,34,2,501
P36QXMgb_1759773925830,2025-10-06,Alex Boag-Munroe,Dartsmatt Development Tour #17,2,You,0,,,501
P36QXMgb_1759773925830,2025-10-06,Alex Boag-Munroe,Dartsmatt Development Tour #17,2,Opponent,1,34,16,501
Y1DbfRue_1759778086273,2025-10-06,Ian Evans,Dartsmatt Development Tour #17,1,You,0,,,501
Y1DbfRue_1759778086273,2025-10-06,Ian Evans,Dartsmatt Development Tour #17,1,Opponent,1,35,35,501
Y1DbfRue_1759778086273,2025-10-06,Ian Evans,Dartsmatt Development Tour #17,2,You,0,,,501
Y1DbfRue_1759778086273,2025-10-06,Ian Evans,Dartsmatt Development Tour #17,2,Opponent,1,36,64,501
fuNQeZNG_1759776410727,2025-10-06,Tony Bennett,Dartsmatt Development Tour #17,1,You,1,42,20,501
fuNQeZNG_1759776410727,2025-10-06,Tony Bennett,Dartsmatt Development Tour #17,1,Opponent,0,,,501
fuNQeZNG_1759776410727,2025-10-06,Tony Bennett,Dartsmatt Development Tour #17,2,You,0,,,501
fuNQeZNG_1759776410727,2025-10-06,Tony Bennett,Dartsmatt Development Tour #17,2,Opponent,1,38,30,501
fuNQeZNG_1759776410727,2025-10-06,Tony Bennett,Dartsmatt Development Tour #17,3,You,0,,,501
fuNQeZNG_1759776410727,2025-10-06,Tony Bennett,Dartsmatt Development Tour #17,3,Opponent,1,39,10,501
wyVTs3nG_1759775065633,2025-10-06,Edwin Iżykowski,Dartsmatt Development Tour #17,1,You,0,,,501
wyVTs3nG_1759775065633,2025-10-06,Edwin Iżykowski,Dartsmatt Development Tour #17,1,Opponent,1,31,20,501
wyVTs3nG_1759775065633,2025-10-06,Edwin Iżykowski,Dartsmatt Development Tour #17,2,You,1,62,3,501
wyVTs3nG_1759775065633,2025-10-06,Edwin Iżykowski,Dartsmatt Development Tour #17,2,Opponent,0,,,501
wyVTs3nG_1759775065633,2025-10-06,Edwin Iżykowski,Dartsmatt Development Tour #17,3,You,0,,,501
wyVTs3nG_1759775065633,2025-10-06,Edwin Iżykowski,Dartsmatt Development Tour #17,3,Opponent,1,44,10,501
9aCJ20Ns_1760121381977,2025-10-10,Mark Douglas,Dartsmatt Grand Prix Qualifier 1,1,Opponent,1,35,20,501
9aCJ20Ns_1760121381977,2025-10-10,Mark Douglas,Dartsmatt Grand Prix Qualifier 1,1,You,0,,,501
9aCJ20Ns_1760121381977,2025-10-10,Mark Douglas,Dartsmatt Grand Prix Qualifier 1,2,Opponent,1,29,37,501
9aCJ20Ns_1760121381977,2025-10-10,Mark Douglas,Dartsmatt Grand Prix Qualifier 1,2,You,0,,,501
RHOATt8A_1760119460716,2025-10-10,Ray Plater,Dartsmatt Grand Prix Qualifier 1,1,Opponent,1,24,74,501
RHOATt8A_1760119460716,2025-10-10,Ray Plater,Dartsmatt Grand Prix Qualifier 1,1,You,0,,,501
RHOATt8A_1760119460716,2025-10-10,Ray Plater,Dartsmatt Grand Prix Qualifier 1,2,Opponent,1,26,20,501
RHOATt8A_1760119460716,2025-10-10,Ray Plater,Dartsmatt Grand Prix Qualifier 1,2,You,0,,,501
bVYbgTzA_1760120447667,2025-10-10,Ian Hollies,Dartsmatt Grand Prix Qualifier 1,1,Opponent,0,,,501
bVYbgTzA_1760120447667,2025-10-10,Ian Hollies,Dartsmatt Grand Prix Qualifier 1,1,You,1,53,12,501
bVYbgTzA_1760120447667,2025-10-10,Ian Hollies,Dartsmatt Grand Prix Qualifier 1,2,Opponent,0,,,501
bVYbgTzA_1760120447667,2025-10-10,Ian Hollies,Dartsmatt Grand Prix Qualifier 1,2,You,1,28,10,501
no2hIMfx_1760292015429,2025-10-12,Julie York,🎯DML Division 4,1,You,0,,,501
no2hIMfx_1760292015429,2025-10-12,Julie York,🎯DML Division 4,1,Opponent,1,32,47,501
no2hIMfx_1760292015429,2025-10-12,Julie York,🎯DML Division 4,2,You,0,,,501
no2hIMfx_1760292015429,2025-10-12,Julie York,🎯DML Division 4,2,Opponent,1,50,8,501
no2hIMfx_1760292015429,2025-10-12,Julie York,🎯DML Division 4,3,You,0,,,501
no2hIMfx_1760292015429,2025-10-12,Julie York,🎯DML Division 4,3,Opponent,1,36,4,501
no2hIMfx_1760292015429,2025-10-12,Julie York,🎯DML Division 4,4,You,0,,,501
no2hIMfx_1760292015429,2025-10-12,Julie York,🎯DML Division 4,4,Opponent,1,33,37,501
no2hIMfx_1760292015429,2025-10-12,Julie York,🎯DML Division 4,5,You,0,,,501
no2hIMfx_1760292015429,2025-10-12,Julie York,🎯DML Division 4,5,Opponent,1,30,54,501
no2hIMfx_1760292015429,2025-10-12,Julie York,🎯DML Division 4,6,You,0,,,501
no2hIMfx_1760292015429,2025-10-12,Julie York,🎯DML Division 4,6,Opponent,1,50,8,501
0hByuxp5_1760380013120,2025-10-13,elJebus 0,Dartsmatt Development Tour #18,1,Opponent,1,35,8,501
0hByuxp5_1760380013120,2025-10-13,elJebus 0,Dartsmatt Development Tour #18,1,You,0,,,501
0hByuxp5_1760380013120,2025-10-13,elJebus 0,Dartsmatt Development Tour #18,2,Opponent,1,41,16,501
0hByuxp5_1760380013120,2025-10-13,elJebus 0,Dartsmatt Development Tour #18,2,You,0,,,501
8a0m5q6P_1760381183581,2025-10-13,Michael Lightwood-Rule,Dartsmatt Development Tour #18,1,You,1,41,16,501
8a0m5q6P_1760381183581,2025-10-13,Michael Lightwood-Rule,Dartsmatt Development Tour #18,1,Opponent,0,,,501
8a0m5q6P_1760381183581,2025-10-13,Michael Lightwood-Rule,Dartsmatt Development Tour #18,2,You,0,,,501
8a0m5q6P_1760381183581,2025-10-13,Michael Lightwood-Rule,Dartsmatt Development Tour #18,2,Opponent,1,34,40,501
8a0m5q6P_1760381183581,2025-10-13,Michael Lightwood-Rule,Dartsmatt Development Tour #18,3,You,0,,,501
8a0m5q6P_1760381183581,2025-10-13,Michael Lightwood-Rule,Dartsmatt Development Tour #18,3,Opponent,1,29,28,501
IJwrfCMS_1760378435856,2025-10-13,Leon Taylor,Dartsmatt Development Tour #18,1,You,0,,,501
IJwrfCMS_1760378435856,2025-10-13,Leon Taylor,Dartsmatt Development Tour #18,1,Opponent,1,33,69,501
IJwrfCMS_1760378435856,2025-10-13,Leon Taylor,Dartsmatt Development Tour #18,2,You,0,,,501
IJwrfCMS_1760378435856,2025-10-13,Leon Taylor,Dartsmatt Development Tour #18,2,Opponent,1,26,24,501
YYvWb6CU_1760985154330,2025-10-20,elJebus 0,Dartsmatt Development Tour #19,1,Opponent,1,51,8,501
YYvWb6CU_1760985154330,2025-10-20,elJebus 0,Dartsmatt Development Tour #19,1,You,0,,,501
YYvWb6CU_1760985154330,2025-10-20,elJebus 0,Dartsmatt Development Tour #19,2,Opponent,1,53,8,501
YYvWb6CU_1760985154330,2025-10-20,elJebus 0,Dartsmatt Development Tour #19,2,You,0,,,501
w6hoJEYg_1760986842795,2025-10-20,Tony Bennett,Dartsmatt Development Tour #19,1,Opponent,1,32,28,501
w6hoJEYg_1760986842795,2025-10-20,Tony Bennett,Dartsmatt Development Tour #19,1,You,0,,,501
w6hoJEYg_1760986842795,2025-10-20,Tony Bennett,Dartsmatt Development Tour #19,2,Opponent,1,34,32,501
w6hoJEYg_1760986842795,2025-10-20,Tony Bennett,Dartsmatt Development Tour #19,2,You,0,,,501
DIdUAPCd_1761073093715,2025-10-21,Tony Bennett,🎯DML Division 4,1,Opponent,1,31,40,501
DIdUAPCd_1761073093715,2025-10-21,Tony Bennett,🎯DML Division 4,1,You,0,,,501
DIdUAPCd_1761073093715,2025-10-21,Tony Bennett,🎯DML Division 4,2,Opponent,0,,,501
DIdUAPCd_1761073093715,2025-10-21,Tony Bennett,🎯DML Division 4,2,You,1,41,8,501
